Group Number,Content Hash,Original Response ID,Original Status,Original Created At,Duplicate Response ID,Duplicate Status,Duplicate Created At,Action Taken,Reason
1,087e9562406c94c3,07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,2026-01-03T09:52:53.020Z,9d85a033-c97f-4a15-a916-0f9801b7bdc7,Rejected -> abandoned,2026-01-02T13:47:49.562Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
1,087e9562406c94c3,07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,2026-01-03T09:52:53.020Z,2496acd6-10f2-4caa-a969-344bfb0f7ae0,Rejected -> abandoned,2026-01-03T04:20:13.100Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
1,087e9562406c94c3,07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,2026-01-03T09:52:53.020Z,ea86bffc-bb47-4866-9504-77b5b87b5ae0,Rejected -> abandoned,2026-01-03T12:44:01.121Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
1,087e9562406c94c3,07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,2026-01-03T09:52:53.020Z,c3272144-3ba4-4547-a08c-c4fcdf65c20c,Rejected -> abandoned,2026-01-04T09:56:19.749Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
2,bb7b427c35ad4fe2,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,2026-01-03T10:45:30.094Z,4ff73311-a37e-4dec-90be-6e056b553941,Rejected -> abandoned,2026-01-02T11:11:49.102Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
2,bb7b427c35ad4fe2,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,2026-01-03T10:45:30.094Z,9a8a17e5-4915-468b-920c-f807bcb0fa39,Rejected -> abandoned,2026-01-03T02:51:13.973Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
2,bb7b427c35ad4fe2,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,2026-01-03T10:45:30.094Z,e0171503-9c6e-4e4e-a0b5-85bed98572e3,Rejected -> abandoned,2026-01-03T10:46:51.474Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
2,bb7b427c35ad4fe2,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,2026-01-03T10:45:30.094Z,a31ac7d7-081a-4684-84eb-d3403ec7fa7b,Rejected -> abandoned,2026-01-04T10:00:27.727Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
3,1b35c0320c8c8ff5,ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,2026-01-02T13:48:27.300Z,c88e8689-7067-4cd7-b807-75b01856d984,Rejected -> abandoned,2026-01-03T06:19:14.108Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
3,1b35c0320c8c8ff5,ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,2026-01-02T13:48:27.300Z,0fdd75bc-650c-47cf-b0c8-5f9486405949,Rejected -> abandoned,2026-01-03T07:09:15.795Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
3,1b35c0320c8c8ff5,ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,2026-01-02T13:48:27.300Z,560ce968-ad5d-4dfa-91a2-b18783508a16,Rejected -> abandoned,2026-01-03T08:32:44.884Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
