Response ID,Mongo ID,Session ID,Interview Mode,Status,Reviewer ID,Reviewed At,Verification Feedback,Created At,Updated At,Survey ID,Interviewer ID
871714a1-9675-40b5-907b-2c016823a436,69413bb8bc3558741f882e71,286bd18b-6853-4aac-a835-e0270a6112a7,cati,Pending_Approval,693ca759518527155598e958,2025-12-19T12:38:34.745Z,Upcoming elections response did not match; Previous Lok Sabha elections response did not match,2025-12-16T11:00:08.622Z,2026-01-04T15:19:14.756Z,68fd1915d41841da463f0d46,693d44ebcba171e81f4d0145
01fb7fc8-9713-4478-a948-04b2ce990f6c,69413bbdbc3558741f88378d,669ece71-3efd-4a23-a177-64c5403ab31b,cati,Pending_Approval,693ca75a518527155598e961,2025-12-20T04:24:26.016Z,,2025-12-16T11:00:13.972Z,2026-01-04T14:07:09.796Z,68fd1915d41841da463f0d46,6938a3fda3f38fb8cfd3c6f0
d0ff15f1-76f8-4a4e-baee-03f115b391c3,69413b41bc3558741f878e1e,8e92fe94-84ab-41c1-a753-1a2b409b7ec2,cati,Pending_Approval,693ca759518527155598e958,2025-12-19T12:32:10.249Z,,2025-12-16T10:58:09.587Z,2026-01-04T13:31:51.413Z,68fd1915d41841da463f0d46,6938a28ca3f38fb8cfd1f25e
b5b45f14-2b89-4024-990f-b59877f38f83,6941395abc3558741f83ff68,e16ba456-257e-4b4d-84c1-9cd902a0adb1,cati,Pending_Approval,693ca758518527155598e955,2025-12-19T12:17:12.854Z,,2025-12-16T10:50:02.522Z,2026-01-04T13:17:07.545Z,68fd1915d41841da463f0d46,6938a2eba3f38fb8cfd25218
cfec20b7-ab00-4fed-9311-b70b2e19cb4d,69413a4abc3558741f85c21b,5cc8e314-27b8-4733-b406-610ede41312e,cati,Pending_Approval,693ca759518527155598e958,2025-12-19T12:23:17.630Z,,2025-12-16T10:54:02.556Z,2026-01-04T13:13:35.680Z,68fd1915d41841da463f0d46,6938a312a3f38fb8cfd27e1f
1463bf3a-d996-44d5-91f4-435104f0066f,69413944bc3558741f83cfdb,297b0def-6bdd-4fd8-b3c6-73781cab8ce3,cati,Pending_Approval,693ca758518527155598e955,2025-12-19T12:15:17.609Z,,2025-12-16T10:49:40.692Z,2026-01-04T12:43:23.126Z,68fd1915d41841da463f0d46,6938a2e4a3f38fb8cfd24b8e
aa2635b9-96fd-4fa1-b505-fa73736dddd0,69413441bd9e6fc18034e87d,d5832a08-3a4d-4105-bf59-7cea4d469f90,cati,Pending_Approval,693ca758518527155598e955,2025-12-19T11:41:33.634Z,No audio ,2025-12-16T10:28:17.858Z,2026-01-04T11:20:56.673Z,68fd1915d41841da463f0d46,693d4512cba171e81f4d3d18
47cb10d7-b0db-415d-99da-afef3c389f8d,6941300e3fe50732981b4f02,fb8fab9c-a7b5-4559-a71f-9f35c5482bc1,cati,Pending_Approval,693ca759518527155598e958,2025-12-19T11:16:21.856Z,Upcoming elections question not asked; Previous assembly elections question not asked; Previous Lok Sabha elections question not asked,2025-12-16T10:10:22.949Z,2026-01-04T10:45:49.179Z,68fd1915d41841da463f0d46,693d44d6cba171e81f4ce1b9
1918a48d-1e81-4893-8c9d-cd61639f17cd,69412cf13fe5073298163fbc,117eef2c-5909-414e-9ae6-0c09f0345028,cati,Pending_Approval,693ca759518527155598e958,2025-12-19T11:08:26.782Z,Previous assembly elections response did not match; Previous Lok Sabha elections question not asked,2025-12-16T09:57:05.857Z,2026-01-04T10:40:37.337Z,68fd1915d41841da463f0d46,693d4571cba171e81f4dd042
c0abffe1-83ba-441c-8c95-e31ec75d3a29,6941293c3fe507329811c997,fd1a5f90-cd5a-4e26-8dcc-7771f32f53ff,cati,Pending_Approval,693ca758518527155598e955,2025-12-19T10:50:58.357Z,,2025-12-16T09:41:16.996Z,2026-01-04T10:30:34.022Z,68fd1915d41841da463f0d46,693d451dcba171e81f4d4d32
