Response ID,Status,Rejection Reason,Has Reviewer,Rejection Date
8b3ff5e8-07f7-47d9-8ae8-09d9c3378dc1,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
43d91c8b-026d-4b9b-a242-f311a953a03a,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
6af8c96c-9efa-4de1-b07d-5908e18e3d5e,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
571d85f7-2bd8-48fd-a4b8-6bfca2b34e5c,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
8510e54b-e47c-4dc3-be63-2aee09059255,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
8834c82f-7936-4373-b30c-29cc75a8216c,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
9c0631d0-1bc9-4f05-bf70-b6f2cf5ddc28,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
21f3bc89-bd57-4e35-bdd0-6d3cb22f3583,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
cd244638-d952-4f7e-a69c-2c0cd28473d3,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
385aa294-cf23-4103-9994-f645cc78ea20,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
cc22f8c5-1a19-40a7-924a-29d92c500883,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
46fbcfa4-5f18-4645-a82d-7fb56b9e37e1,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
2ff1a84b-b77c-4573-834b-e52f894f46bf,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
eb2b22e1-f64c-4561-8126-b75d01338efa,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
3453ab08-3a14-4694-a4aa-a1cc83d7943d,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
d756906e-8df1-4ed5-b7d9-41d75fb2e70f,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
d15d403c-a094-459c-b2a2-6e31b4db8f94,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
84e66292-7ae6-4fba-9a5b-2dab36059363,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
a29d89ed-afed-44df-a4bd-a2255f655243,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
06db5970-40f1-4800-a806-8270ccf6d5d1,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
3a143755-a826-4e8e-8b10-d14494369afa,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
9a8369a4-14d2-49a6-bacd-3df29eec768b,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
e7f4f070-712b-4739-a368-94ba84fad760,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
ba74bacd-8d43-48a7-aafb-1fcdf238d3b8,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
343e796f-d424-4919-89a7-5f9559a24be1,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
1167acc0-ff0d-4c3c-a45c-66978cced745,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
9d86629f-9256-465f-b639-cb05c531d04d,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
40c0ae29-b23e-4514-af66-fd79c936f279,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
ef4d9f48-7b5f-4f11-b901-71ee26e2702e,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
77ceac5a-1d3d-40de-ac8a-d66ee4c90398,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
af4faeab-566a-4bf8-921d-b386fb08462e,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
06df54f0-d62f-47e6-99b9-0776f936375d,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
f9acb668-9f42-4659-9670-1c7817188387,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
8616de88-1c24-4e3b-81d6-4363f75e5680,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
cd1b1aa3-86f2-484e-a253-9f075df81459,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
38596fcb-de61-4936-8a88-2033000a0163,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
b2898f0c-ed57-4eed-9639-8f92deea1306,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
6d182f6c-e3e5-45c5-847f-3174388c356d,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
b34813d7-34a2-4ce5-8a1b-c2a73e66f37a,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
0778dcbf-0490-462f-bf9a-9aeb433f8cb5,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
e783f5b9-a0d9-4651-b999-ad1cf79955db,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
d340fa27-27e6-4709-8657-8301955412f8,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
20240bd2-50ab-49a1-8b49-168fe2fe27e5,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
0854f935-2d62-4fa3-8c4a-a4d655c5ce12,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
75a2024d-a48f-40e0-b8ad-3ef887103774,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
46cde56a-0555-4fa5-88bc-614ce1ad5d43,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
9528b3eb-7672-44b5-9a97-852181f0a9fd,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
ba4c0af9-e573-40ad-8f63-e6ebd2fa16df,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
49bec615-4802-47f9-a3c4-9a152abeb5cd,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
1196e80d-8b1e-4554-b7f0-a05882788ac4,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
b7828047-c441-4bec-9fb3-acd5565f7969,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
c55f3894-891a-4787-968c-63590a252994,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
1369c467-8cd9-42c1-88e7-3ce540236fc2,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
9ef5106a-8967-4543-9aaa-245499b3ab9c,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
4352fcd8-af20-45cb-9a8a-263130fbe0d9,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
0d1941ac-050b-4262-8225-4781b654fab7,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
82c3e15b-d786-46bd-9cdd-fbae0439db27,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
3ca804a6-8c67-43b7-80e8-de748877464e,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
612f72e5-c564-4331-8c0a-3dfe03e33ada,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
d669ec84-5f38-4dc3-8a7b-e90ba829e15a,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
bfb586e1-23af-4aa7-9dd4-7437537e043c,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
d190632f-b99d-44dc-b345-7e91d8cff282,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
11ffddbb-fd90-46a6-80dc-44e656a09e99,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
3bb129b7-e5f0-4b6a-83c2-5c2e004cef04,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
ec76a4e9-7bdb-4d8c-ae16-a22f8b1e3b76,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
80460b72-5bcd-4244-a66b-a85ed13e69c3,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
89a20fd6-7755-4195-96c2-8dfa6a8bb510,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
b23ba9a5-1e13-4d9c-abfd-3af887fe43b4,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
abcd14fa-458a-4644-8dac-b8106e272416,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
acdf45cd-b957-4428-9693-d2a7c5d748bb,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
69a9e95c-d985-41f5-b149-0bc1b3857d68,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
6311e94d-ca42-459b-b00b-aee1a25f7c27,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
36366057-0617-4ded-8bc0-b75f862cfb33,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
c74a8fa3-7869-4d61-b1d7-9a60f15805a0,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
4a32506a-0c6a-41e8-ac97-b5c331c54e91,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
36d30a13-9bb9-487a-bf2a-797e08345413,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
e663764b-5dcd-4f26-827a-5e564f0b14e1,Rejected,"NWR in Q5, Q6 & Q8",Yes,2025-12-22
3604d9b2-f3fd-4ffc-8778-4942c4a2b6b9,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
2a0855be-3474-4ff6-aa14-a96c4c750bff,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
cfe1fd63-fd66-49e7-bb49-8c14b9ec5b9b,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
fb1212f4-c086-4a97-a717-379973f33d06,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
fa5791ef-e0e8-4290-bc54-715c0ba9c27b,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
a427c420-601c-41cc-b2b0-968c6779008f,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
a63e9856-e1a4-4fe1-9225-3529cfd49949,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
d52be3d0-51a3-477b-9e60-1a2a3c2fde00,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
7ae19105-aaaf-4829-b5de-0c7766158035,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
af156037-c46a-4635-83d2-25687a8a96e3,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
9e8f4b3f-514b-4032-8c51-bec0e53852ee,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
85b0c537-e89e-41af-b27a-bfe47221b504,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
de16f91f-1b12-4bca-9f7d-fb604c6a124e,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
60c2f900-829f-4cd5-9875-46583659c447,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
ad12068f-6bd3-4124-bad9-f7b3e501e06f,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
ff01df0f-d54b-4457-addb-eba125fcaa8d,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
29056b29-a38b-429f-ba4a-a6a93cea8a67,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
893b8bd8-7390-4954-a83a-e1c25cc8e211,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
3edbeb6a-5da0-444c-9a04-2fe8d70ae73b,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
022d2ccf-5b4c-422b-83f6-b7ab3996de72,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
5985e564-adb7-48c0-b78b-e0545349e6f1,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
bf7e7eea-4c1f-4ea2-8266-d57c162f56bf,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
a53fbf0f-4f2b-4e78-8036-1806feb30e84,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
aff588f1-2927-4b8c-b314-4185e211586d,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
c7525086-c12d-4d5c-aa8a-7aa97477fd07,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
bc2cc886-0a16-41bf-9669-39552e2d0423,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
ee4ad055-d8f5-407b-ae09-baa300973234,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
0c2d4094-0b05-495a-9dfa-aac87cc41220,Rejected,"NWR in Q5, Q6 & Q8",No,2025-12-22
